L,d,r,p,q,samples,mi_0,mi_1,mi_2,mi_3,mi_4,mi_5,mi_6,mi_7,mi_8,mi_9,mi_10
48,6,3,0.0175,6,3714,0.6666666666666666,0.6666666666666666,0.625,0.625,0.625,0.6041666666666666,0.6041666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5625
48,6,3,0.0175,6,3715,0.6666666666666666,0.625,0.625,0.6041666666666666,0.5833333333333334,0.5625,0.5625,0.5625,0.5416666666666666,0.5208333333333334,0.5
48,6,3,0.0175,6,3716,0.6666666666666666,0.6458333333333334,0.6458333333333334,0.625,0.6041666666666666,0.5833333333333334,0.5208333333333334,0.4791666666666667,0.4791666666666667,0.4791666666666667,0.4166666666666667
48,6,3,0.0175,6,3717,0.6666666666666666,0.6041666666666666,0.5833333333333334,0.5833333333333334,0.5416666666666666,0.5416666666666666,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5,0.4791666666666667
48,6,3,0.0175,6,3718,0.6666666666666666,0.6666666666666666,0.6041666666666666,0.5833333333333334,0.5625,0.5416666666666666,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.4583333333333333
48,6,3,0.0175,6,3719,0.6666666666666666,0.625,0.625,0.5833333333333334,0.5625,0.5208333333333334,0.5208333333333334,0.4791666666666667,0.4791666666666667,0.4583333333333333,0.4583333333333333
48,6,3,0.0175,6,3720,0.6666666666666666,0.625,0.5416666666666666,0.5416666666666666,0.5,0.4583333333333333,0.4583333333333333,0.4375,0.4375,0.3958333333333333,0.3958333333333333
48,6,3,0.0175,6,3721,0.6666666666666666,0.6458333333333334,0.6041666666666666,0.5625,0.5,0.4791666666666667,0.4583333333333333,0.4375,0.4375,0.4375,0.4375
48,6,3,0.0175,6,3722,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.5625,0.5625,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.5
48,6,3,0.0175,6,3723,0.6666666666666666,0.6666666666666666,0.625,0.625,0.625,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5416666666666666,0.5416666666666666,0.5208333333333334
48,6,3,0.0175,6,3724,0.6666666666666666,0.6458333333333334,0.625,0.6041666666666666,0.5625,0.5416666666666666,0.5416666666666666,0.5208333333333334,0.4791666666666667,0.4166666666666667,0.375
48,6,3,0.0175,6,3725,0.6666666666666666,0.6458333333333334,0.6458333333333334,0.6041666666666666,0.5625,0.5208333333333334,0.4791666666666667,0.4583333333333333,0.3958333333333333,0.3958333333333333,0.375
48,6,3,0.0175,6,3726,0.6666666666666666,0.6666666666666666,0.6458333333333334,0.625,0.5625,0.5208333333333334,0.5,0.5,0.4791666666666667,0.4791666666666667,0.4791666666666667
48,6,3,0.0175,6,3727,0.6666666666666666,0.6458333333333334,0.5625,0.5625,0.5208333333333334,0.5208333333333334,0.4791666666666667,0.4583333333333333,0.4375,0.3958333333333333,0.3958333333333333
48,6,3,0.0175,6,3728,0.6666666666666666,0.6666666666666666,0.6458333333333334,0.625,0.6041666666666666,0.6041666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5625
48,6,3,0.0175,6,3729,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.5208333333333334,0.5,0.5,0.5,0.4791666666666667,0.4791666666666667,0.4583333333333333,0.4583333333333333
48,6,3,0.0175,6,3730,0.6666666666666666,0.625,0.6041666666666666,0.5625,0.5625,0.5416666666666666,0.5208333333333334,0.5,0.4583333333333333,0.4583333333333333,0.4166666666666667
48,6,3,0.0175,6,3731,0.6666666666666666,0.625,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.5833333333333334,0.5416666666666666,0.5416666666666666,0.4791666666666667,0.4583333333333333,0.4583333333333333
48,6,3,0.0175,6,3732,0.6666666666666666,0.6041666666666666,0.5625,0.5416666666666666,0.5416666666666666,0.5208333333333334,0.5,0.4791666666666667,0.4791666666666667,0.4791666666666667,0.4791666666666667
48,6,3,0.0175,6,3733,0.6666666666666666,0.6666666666666666,0.625,0.6041666666666666,0.5625,0.5208333333333334,0.5208333333333334,0.5,0.5,0.5,0.5
48,6,3,0.0175,6,3734,0.6666666666666666,0.6458333333333334,0.6458333333333334,0.6041666666666666,0.5416666666666666,0.5416666666666666,0.4583333333333333,0.4583333333333333,0.4375,0.4375,0.4166666666666667
